SU_ID,LS_Maria2017,SU_Area,SU_Perimeter,SU_P.A,SU_P.sqrt.A.,SU_Max.Distance,SU_D.A,SU_D.sqrt.A.,Dist2Stream..MEAN.,Dist2Stream..STDDEV.,Eastness..MEAN.,Eastness..STDDEV.,Elevation..MEAN.,Elevation..STDDEV.,Northness..MEAN.,Northness..STDDEV.,PlanarCurvature..MEAN.,PlanarCurvature..STDDEV.,ProfileCurvature..MEAN.,ProfileCurvature..STDDEV.,RSP..MEAN.,RSP..STDDEV.,Slope..MEAN.,Slope..STDDEV.,TWI..MEAN.,TWI..STDDEV.,UniqueID,Forest,Agriculture,Builtup,Roads,Bare,Quarry,RGA,CRL,YPD,YPC,YPV,YPI,BAP,BAO,BAY,IGO,IPL,IGY,IBP,OPL,PBA,PPD,PCR,PLI,PIC,PLP
Pol_646,0,378086,3193.584134,0.008447,5.193774,843.843587,0.002232,1.372356,147.001492,91.099882,-0.400379,0.47268,236.668345,74.324843,0.707309,0.340564,0.000396,0.013678,-0.000567,0.012801,0.525618,0.334133,25.077588,10.575275,5.345079,1.991116,646,0.93,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_647,308,380789,4485.623608,0.01178,7.2691,1647.573974,0.004327,2.669948,136.055984,82.507869,-0.268249,0.424651,535.125372,117.35522,0.838389,0.211702,0.00011,0.012872,-0.000687,0.013516,0.599686,0.337034,29.029148,9.173874,5.221542,1.655586,647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_648,464,727715,5071.617234,0.006969,5.945191,1474.921015,0.002027,1.728973,129.040371,88.221123,0.455823,0.502205,275.216969,77.737451,0.522562,0.516666,0.000561,0.010559,-0.000813,0.010406,0.558735,0.347943,20.458461,8.519975,5.473808,1.872343,648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_649,0,164347.4681,2633.979845,0.016027,6.49727,1007.744764,0.006132,2.485816,174.373391,66.475675,0.337993,0.391578,502.411781,38.654434,-0.820637,0.242865,0.002111,0.008408,0.003063,0.00787,0.857541,0.11417,19.514635,7.366842,5.025024,1.04198,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_650,5788,455783.0651,7843.17509,0.017208,11.617504,2140.840956,0.004697,3.171066,92.514354,64.346775,-0.50606,0.426216,591.574931,171.961337,0.634015,0.400334,0.000377,0.034565,-0.000515,0.042494,0.509989,0.30671,35.386346,12.185021,4.161625,1.648447,650,0.12,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.33,0,0.07,0,0,0,0
Pol_651,8812,281543.3623,2767.306511,0.009829,5.215364,1007.561956,0.003579,1.898887,67.357581,53.638525,-0.165423,0.578607,614.625048,106.271034,-0.660963,0.448304,8.00E-05,0.038895,-0.00075,0.034723,0.397922,0.301589,36.333871,11.934931,3.968665,1.817538,651,0.61,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_652,1224,805230.5474,5821.611127,0.00723,6.487585,1790.570517,0.002224,1.995406,99.206281,69.326817,-0.56558,0.417345,513.471317,74.572286,-0.037858,0.710288,0.000605,0.010329,-0.000549,0.011951,0.493294,0.332852,20.304956,8.089375,5.44574,1.739882,652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_653,12,165841.1649,2383.241659,0.014371,5.852237,773.344037,0.004663,1.899007,137.817975,74.218531,0.616459,0.410585,739.577867,61.241819,0.014931,0.671695,0.001889,0.018329,0.002612,0.017732,0.834923,0.232953,30.112944,9.199377,4.356238,1.091874,653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_654,204,193626.5942,3751.537533,0.019375,8.525636,1489.360937,0.007692,3.384679,60.79937,56.228315,0.44335,0.398032,440.636111,64.099416,-0.20596,0.776268,-0.002163,0.012142,-0.005008,0.013441,0.406329,0.269798,23.088207,8.143049,5.659143,2.150579,654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0
Pol_655,2008,670136.2774,7291.452458,0.010881,8.907021,2292.438003,0.003421,2.800374,90.443689,66.79169,0.130102,0.647052,502.886215,82.418717,0.605133,0.445209,-0.000343,0.010893,-0.000289,0.011145,0.541312,0.380391,20.543722,9.311549,5.678939,2.426934,655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0
Pol_656,3060,418852.1434,6007.977577,0.014344,9.283205,1939.14311,0.00463,2.99626,105.608724,65.921743,-0.03984,0.559497,513.950649,92.361586,0.781182,0.2741,-0.00026,0.010982,-4.90E-05,0.013394,0.476028,0.329604,23.919663,9.341826,5.059365,1.599269,656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
